consumption,co2
8.5,196
9.6,221
5.9,136
11.1,255
10.6,244
10.0,230
10.1,232
11.1,255
11.6,267
9.2,212
9.8,225
10.4,239
8.4,193
15.6,359
15.6,359
14.7,338
15.4,354
14.7,338
15.4,354
15.6,359
8.8,202
10.0,230
9.3,214
10.0,230
10.0,230
9.3,214
10.2,235
10.9,251
11.2,262
11.2,258
11.3,265
11.2,258
12.5,288
15.5,363
10.5,242
10.4,239
11.2,258
9.2,212
13.2,304
14.6,336
17.7,407
14.8,347
17.8,409
14.6,336
17.7,407
14.8,347
17.8,409
13.3,306
13.4,308
12.5,293
11.4,262
12.4,285
11.4,262
12.4,285
11.6,267
12.2,281
12.2,281
12.8,300
12.7,292
9.1,209
9.1,209
10.3,237
10.3,237
13.4,314
15.5,356
14.2,332
16.5,380
16.5,380
16.5,388
19.0,437
8.4,193
8.7,200
8.8,202
8.4,193
8.7,200
9.1,209
9.1,209
9.1,209
9.6,221
10.0,230
9.9,228
10.3,237
10.1,232
8.4,193
8.7,200
9.1,209
9.6,221
10.0,230
9.9,228
10.3,237
8.8,202
9.1,209
10.1,232
10.7,246
12.2,281
12.7,292
10.1,232
12.7,292
12.2,281
12.7,292
10.7,246
12.7,292
12.7,292
15.5,356
8.3,191
9.3,214
9.2,212
12.7,292
12.7,292
14.7,338
13.8,317
14.7,338
13.8,317
14.7,338
13.8,317
14.7,338
13.8,317
9.1,209
11.3,260
10.0,230
11.0,253
11.1,255
13.9,320
16.1,370
11.9,274
14.1,324
9.1,209
8.7,200
12.1,278
11.0,253
12.1,278
9.9,228
9.8,225
10.7,246
9.9,228
9.8,225
9.6,221
10.2,235
10.1,232
10.1,232
10.8,248
12.8,294
16.6,382
14.8,340
16.6,382
14.8,340
16.6,382
14.8,340
14.7,338
16.4,377
12.6,290
12.8,294
12.7,292
16.6,382
14.8,340
12.0,276
11.2,258
9.9,228
14.1,324
14.3,329
13.8,317
13.9,320
13.8,317
13.8,317
13.2,304
14.1,324
14.3,329
14.7,338
16.4,377
13.2,304
10.2,235
10.8,248
7.5,172
8.2,189
11.5,265
11.7,269
12.3,283
11.1,255
11.6,267
11.0,253
12.3,283
11.6,267
12.8,294
7.6,175
11.8,271
10.6,244
11.0,253
12.8,294
14.5,334
15.0,345
10.3,237
10.6,244
12.8,294
10.5,242
12.2,281
13.3,306
13.3,306
12.4,285
13.3,306
12.4,285
13.3,306
13.3,306
13.3,306
13.1,301
12.6,290
13.7,315
13.5,310
13.7,315
13.5,310
15.8,363
18.3,421
15.7,361
17.4,400
11.9,274
14.5,334
9.8,225
9.8,225
15.4,354
15.1,347
12.4,285
12.4,285
15.0,345
14.7,338
12.3,283
12.3,283
15.4,354
15.1,347
10.4,239
11.0,253
7.6,175
13.9,320
9.7,223
10.4,239
9.7,223
10.6,244
11.0,253
10.6,244
12.6,290
12.3,283
12.9,297
12.9,297
11.4,262
16.5,380
8.2,189
12.7,292
12.7,292
15.1,347
15.3,352
14.5,334
13.1,301
10.2,235
9.6,221
9.9,228
8.0,184
9.4,216
9.4,216
10.5,242
10.5,242
10.4,239
10.6,244
10.5,242
15.1,347
15.3,352
13.2,304
13.4,308
7.8,179
9.2,212
11.5,264
13.1,301
13.1,301
10.2,235
10.0,230
10.4,239
10.5,242
10.4,239
10.2,235
8.8,202
11.6,267
11.7,269
11.4,262
12.9,297
13.5,310
12.9,297
13.5,310
18.2,419
17.7,407
15.2,350
15.6,359
15.8,363
11.3,260
12.1,278
14.2,327
15.5,356
12.1,278
12.0,276
13.2,304
11.7,269
12.7,292
14.2,327
8.9,205
9.0,207
9.8,225
10.7,246
16.5,380
15.7,361
15.7,361
7.8,179
7.8,179
7.8,179
7.8,179
8.7,200
7.8,179
7.6,175
7.3,168
8.7,200
7.8,179
7.8,179
7.8,179
8.3,191
8.0,184
8.3,191
8.0,184
9.0,207
8.5,196
8.3,191
8.0,184
9.0,207
8.5,196
8.3,191
8.0,184
8.3,191
8.0,184
8.3,191
8.0,184
9.0,207
8.5,196
8.3,191
8.0,184
9.0,207
8.5,196
8.3,191
8.0,184
12.5,288
12.3,283
11.6,267
10.2,235
11.0,253
11.5,264
11.4,262
11.7,269
12.9,297
8.1,186
8.6,198
8.7,200
10.9,251
10.1,232
10.7,246
10.3,237
10.7,246
10.5,242
11.0,253
10.8,248
11.0,253
11.0,253
11.2,258
10.1,232
10.7,246
10.6,244
10.8,248
10.7,246
10.9,251
14.0,322
11.9,274
11.9,274
11.9,274
11.9,274
9.2,212
9.9,228
9.8,225
10.4,239
12.4,290
13.6,313
14.4,338
13.2,310
10.9,251
13.9,326
15.2,358
9.2,212
9.9,228
9.8,225
